"YEAR","MONTH","NDC","RXCUI","ATC4"
1951,03,"0002-1407-01",853004,"C01BA"
2014,11,"0002-1433-61",1551300,"A10BJ"
2014,11,"0002-1433-80",1551300,"A10BJ"
2014,11,"0002-1434-61",1551306,"A10BJ"
2014,11,"0002-1434-80",1551306,"A10BJ"
2016,03,"0002-1445-09",1745108,"L04AC"
2016,03,"0002-1445-11",1745108,"L04AC"
2016,03,"0002-1445-27",1745108,"L04AC"
2016,04,"0002-1445-61",1745108,"L04AC"
2011,03,"0002-1975-61",1599948,"G03BA"
2011,03,"0002-1975-90",1599948,"G03BA"
2003,01,"0002-3227-07",352317,"N06BA"
2003,01,"0002-3227-30",352317,"N06BA"
2003,01,"0002-3228-07",352319,"N06BA"
2003,01,"0002-3228-30",352319,"N06BA"
2003,01,"0002-3229-07",352320,"N06BA"
2003,01,"0002-3229-30",352320,"N06BA"
2007,04,"0002-3230-30",725080,"N06AB"
2007,04,"0002-3230-30",725080,"N05AH"
2004,01,"0002-3231-30",403969,"N06AB"
2004,01,"0002-3231-30",403969,"N05AH"
2004,01,"0002-3232-30",403970,"N06AB"
2004,01,"0002-3232-30",403970,"N05AH"
2004,01,"0002-3233-30",725072,"N06AB"
2004,01,"0002-3233-30",725072,"N05AH"
2004,01,"0002-3234-30",403971,"N06AB"
2004,01,"0002-3234-30",403971,"N05AH"
2004,08,"0002-3235-60",596928,"N06AX"
2003,01,"0002-3238-07",352318,"N06BA"
2003,01,"0002-3238-30",352318,"N06BA"
2003,01,"0002-3239-07",352321,"N06BA"
2003,01,"0002-3239-30",352321,"N06BA"
2004,08,"0002-3240-30",596932,"N06AX"
2004,08,"0002-3240-90",596932,"N06AX"
2005,08,"0002-3250-07",617947,"N06BA"
2005,08,"0002-3250-30",617947,"N06BA"
2005,08,"0002-3251-30",617945,"N06BA"
2010,01,"0002-3270-04",615186,"N06AX"
2010,01,"0002-3270-30",615186,"N06AX"
1997,06,"0002-4112-30",212405,"N05AH"
1996,10,"0002-4115-30",153046,"N05AH"
1996,10,"0002-4116-30",153047,"N05AH"
1996,10,"0002-4117-30",153048,"N05AH"
2016,12,"0002-4184-02",1490067,"G03XC"
2016,12,"0002-4184-07",1490067,"G03XC"
2016,12,"0002-4184-30",1490067,"G03XC"
2000,01,"0002-4415-30",261337,"N05AH"
2001,03,"0002-4420-30",284514,"N05AH"
2000,06,"0002-4453-85",754506,"N05AH"
2000,06,"0002-4454-85",754503,"N05AH"
2001,09,"0002-4455-85",754504,"N05AH"
2001,09,"0002-4456-85",754505,"N05AH"
2003,11,"0002-4462-30",404711,"G04BE"
2008,01,"0002-4462-34",404711,"G04BE"
2008,01,"0002-4462-61",404711,"G04BE"
2003,11,"0002-4463-30",402096,"G04BE"
2003,11,"0002-4464-01",402097,"G04BE"
2003,11,"0002-4464-30",402097,"G04BE"
2008,01,"0002-4465-34",762660,"G04BE"
2012,03,"0002-5121-30",855820,"B01AC"
2012,03,"0002-5121-52",855820,"B01AC"
2012,03,"0002-5123-07",855816,"B01AC"
2012,03,"0002-5123-30",855816,"B01AC"
2012,03,"0002-5123-77",855816,"B01AC"
2014,08,"0002-5800-62",895019,"N06BA"
2014,08,"0002-5801-62",895021,"N06BA"
2014,08,"0002-5802-62",895024,"N06BA"
1993,12,"0002-7140-01",108911,"B01AC"
2017,02,"0002-7190-01",1872479,"L01XC"
1987,04,"0002-7335-11",207834,"H01AC"
1996,05,"0002-7501-01",1719013,"L01BC"
1996,05,"0002-7502-01",1719013,"L01BC"
1996,07,"0002-7510-01",865098,"A10AB"
1996,07,"0002-7510-01",865098,"A10AC"
1996,07,"0002-7510-01",865098,"A10AD"
1996,07,"0002-7510-17",865098,"A10AB"
1996,07,"0002-7510-17",865098,"A10AC"
1996,07,"0002-7510-17",865098,"A10AD"
1996,07,"0002-7510-99",865098,"A10AB"
1996,07,"0002-7510-99",865098,"A10AC"
1996,07,"0002-7510-99",865098,"A10AD"
2000,10,"0002-7511-01",752388,"A10AB"
2000,10,"0002-7511-01",752388,"A10AC"
2000,10,"0002-7511-01",752388,"A10AD"
2007,12,"0002-7511-99",752388,"A10AB"
2007,12,"0002-7511-99",752388,"A10AC"
2007,12,"0002-7511-99",752388,"A10AD"
2006,02,"0002-7512-01",731281,"A10AB"
2006,02,"0002-7512-01",731281,"A10AC"
2006,02,"0002-7512-01",731281,"A10AD"
2006,10,"0002-7512-99",731281,"A10AB"
2006,10,"0002-7512-99",731281,"A10AC"
2006,10,"0002-7512-99",731281,"A10AD"
2000,07,"0002-7516-59",865098,"A10AB"
2000,07,"0002-7516-59",865098,"A10AC"
2000,07,"0002-7516-59",865098,"A10AD"
2000,07,"0002-7516-99",1652640,"A10AB"
2000,07,"0002-7516-99",1652640,"A10AC"
2000,07,"0002-7516-99",1652640,"A10AD"
2004,04,"0002-7597-01",545353,"N05AH"
2004,02,"0002-7623-01",1728079,"L01BA"
2010,03,"0002-7635-11",1718932,"N05AH"
